review_id,asin,reviewerID,reviewerName,overall,unixReviewTime,summary,Text
1,FOOD001,U001,Alice,5,1660000000,Delicious Pizza,"The crust was crispy and the cheese tasted fresh. Delivery was on time and the portion was generous."
2,FOOD002,U002,Bob,2,1660100000,Bland Soup,"The soup was watery and lacked flavor. I wouldn’t order this again."
3,FOOD003,U003,Charlie,4,1660200000,Great Burgers,"The burger was juicy and well-seasoned. Fries were a bit salty but overall a good meal."
4,FOOD004,U004,Diana,1,1660300000,Cold Food,"My noodles arrived cold and soggy. Very disappointed with the service."
5,FOOD005,U005,Eric,5,1660400000,Perfect Sushi,"Fresh salmon, perfectly cooked rice, and quick service. Would recommend to anyone."
6,FOOD006,U006,Fatima,3,1660500000,Okay Experience,"Food was average. Not bad, but nothing special compared to other places nearby."
7,FOOD007,U007,George,5,1660600000,Excellent Tacos,"Authentic flavor and fresh toppings. The hot sauce was amazing!"
8,FOOD008,U008,Helen,2,1660700000,Too Salty,"Everything was overly salty. Couldn’t finish my meal."
9,FOOD009,U009,Ibrahim,4,1660800000,Good Breakfast,"Pancakes were fluffy and eggs cooked well. Coffee was a little bitter though."
10,FOOD010,U010,Julia,5,1660900000,Best Steak,"Perfectly grilled steak, tender and flavorful. Price was fair for the quality."
11,FAKE001,F001,ReviewBot1,5,1661000000,Amazing Deal,"Best food ever!!! Buy now, limited time offer, don’t miss out!!!"
12,FAKE002,F002,ReviewBot2,5,1661100000,Outstanding,"Absolutely perfect in every way. Worth 10 stars if I could give it more!"
13,FAKE003,F003,ReviewBot3,5,1661200000,Life Changing,"This restaurant changed my life. I will never eat anywhere else again!"
14,FAKE004,F004,ReviewBot4,5,1661300000,Promo Offer,"Get free drinks with every order. Best in town, highly recommended!!!"
15,FAKE005,F005,ReviewBot5,5,1661400000,Must Try,"Everyone must try this! Incredible value, amazing taste, 100% satisfaction guaranteed!"
16,FAKE006,F006,ReviewBot6,5,1661500000,Perfect Food,"Perfect, perfect, perfect. Nothing could ever be better than this place!"
17,FAKE007,F007,ReviewBot7,5,1661600000,So Good,"So good. So tasty. So perfect. Amazing food. Best ever!"
18,FAKE008,F008,ReviewBot8,5,1661700000,Unbelievable,"Unbelievable deal!!! Cheaper than anywhere else and tastes better too!"
19,FAKE009,F009,ReviewBot9,5,1661800000,Top Choice,"This is the only place to eat. Better than 5-star hotels. Don’t think, just buy!"
20,FAKE010,F010,ReviewBot10,5,1661900000,Wow!!!,"Wow wow wow!!! Excellent food, super amazing, life changing, must visit now!!!"